epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,202.575,1.35062,4.07115,1.44207,0.01403,0.94127,0.26917,0.17226,1.09568,4.36667,1.13312,0.000360838,0.000360838,0.000360838
2,379.994,1.30486,2.99816,1.3494,0.79393,0.15695,0.44182,0.27941,1.22804,4.05853,1.27477,0.000723932,0.000723932,0.000723932
3,540.467,1.34871,2.76481,1.3921,0.50206,0.5105,0.53332,0.3266,1.23757,3.76351,1.39269,0.00107969,0.00107969,0.00107969
4,690.626,1.34769,2.49404,1.39102,0.38336,0.43062,0.34819,0.20674,1.51605,3.91149,1.49589,0.001078,0.001078,0.001078
5,841.203,1.29659,2.18197,1.37108,0.66773,0.57751,0.61406,0.37333,1.32074,2.78496,1.43902,0.001067,0.001067,0.001067
6,998.689,1.31786,2.12279,1.38328,0.65887,0.75244,0.8029,0.50172,1.23998,2.37537,1.39464,0.00105601,0.00105601,0.00105601
7,1151.17,1.27618,1.88976,1.33657,0.68407,0.73742,0.77919,0.48131,1.22685,2.54291,1.33237,0.00104501,0.00104501,0.00104501
8,1299.22,1.23598,1.72927,1.32066,0.70616,0.72344,0.77277,0.503,1.20054,2.19393,1.3233,0.00103401,0.00103401,0.00103401
9,1446.4,1.23733,1.70475,1.32963,0.85443,0.78719,0.89087,0.5903,1.18255,1.67232,1.32515,0.00102301,0.00102301,0.00102301
10,1594.44,1.24085,1.67054,1.31757,0.85193,0.78741,0.88339,0.55633,1.17353,1.77228,1.38622,0.00101201,0.00101201,0.00101201
11,1745.75,1.2784,1.60298,1.33767,0.8405,0.79159,0.8857,0.60586,1.11543,1.67224,1.28104,0.00100101,0.00100101,0.00100101
12,1899.71,1.21978,1.49149,1.31347,0.79131,0.67515,0.77963,0.5114,1.17302,1.76094,1.26536,0.000990012,0.000990012,0.000990012
13,2088.59,1.13758,1.34485,1.23734,0.87363,0.88852,0.94153,0.65848,1.07302,1.19126,1.1992,0.000979013,0.000979013,0.000979013
